text
"Sudah bagus dan lancar acaranya		"
"masih bikin agak ngantuk		"
"Lebih tepat waktu acaranya		"
"semoga seminar ini tetap terlaksana dengan baik		"
"Tidak ada kritik dan saran semua sudah oke.		"
"acaranya lebih tepat waktu kedepannya		"
"acara webinar ini sudah terlaksana dengan baik		"
"udah bagus dan kondusif, semoga webinar selanjutnya bisa lebih bagus lagi		"
"acara sangat terlaksana dengan baik		"
"Kegiatannya terlaksana dengan baik		"
"Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya		"
"Materi sangat bermanfaat		"
"acaranya bermanfaat		"
tidak bisa masuk zoomnya full
Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt
"Interaksi terhadap pendengar lebih banyak lagi		"
"cukup baik, mudah2an utk acara kedepannya lebih baik lgi		"
"Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka, apalagi pematerinya.		"
"Lebih sedikit tepat waktu saja sesuatu dengan jadwal.		"
"pemaparan materinya sudah cukup jelas		"
"mungkin diadakan games agar lebih seru tidak monoton		"
"Tambah slot kuota pada zoom		"
"Webinar yang bermanfaat		"
"Materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta		"
"kedepannya waktu kegiatan di letakkan di pagi hari		"
"Seru bgt acaranya terimakasih kak abang		"
"tidak ada kritik dan saran karena sangat bermanfaat bagi generasi Z		"
"Saran : Semoga kegiatan ini diadakan tiap tahun untuk maba		"
"Semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya		"
"narasumber dan MC sudah menjalankan tugasnya dengan baik.		"
"semoga ke depannya acaranya lebih disiplin		"
"acara terlaksana dengan baik		"
"Webinar sudah baik.		"
"Acara sudah berjalan dengan baik.		"
"kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai, mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk		"
"Kegiatan sudah berjalan dengan lancar dan baik		"
"Mungkin bisa mengadakan acara pada pagi hari saja, sehingga peserta masih bersemangat		"
"Informasi yang didapatkan sangat mudah diserap		"
"Acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya.		"
"MC nya saja masih terlihat sedikit gugup.		"
"terkadang audio putus putus		"
"Kegiatan sudah cukup baik		"
"Kritik : mungkin dari segi audio, agak di stabilkan		"
"Saran : Semoga kedepanya acaranya makin baik		"
"micnya kurang jelas		"
"tidak ada, sudah sangat berjalan dengan baik dan menarik		"
"Sangat bermanfaat bagi mahasiswa baru seperti saya		"
"Menambahkan pemateri lagi ya		"
"Acara berjalan lancar dan tepat waktu		"
"Acara berjalan dgn sangat baik		"
"kegiatan sangat bermanfaat		"
"Terus mengadakan event gabungan seperti ini.		"
"Materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi Z.		"
"Webinar ini sangat menarik.		"
"kegiatan webinar sudah berjalan dengan baik		"
"acara berjalan dengan baik dan lancar		"
"ilmu yang disampaikan sangat bermanfaat		"
"KEREN BANGET ACARANYA		"
"Berjalan dengan baik acaranya		"
"acara sudah sangat bagus dan menarik		"
"Semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi		"
"Acaranya sangat menarik, semoga ke depannya dapat terlaksana dengan lebih baik lagi		"
"Acara berjalan dengan baik		"
"Ditingkatkan lebih baik lagi		"
"Hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom.		"
"sudah bagus acara terlaksana dengan lancar		"
"acaranya sudah bagus dan lebih dikembangkan lagi #respect		"
"Kegiatan FKBMIK berjalan dengan baik, narasumber membawa materi yang seru dan sangat relatable dengan masa-masa sekarang.		"
"Kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru.		"
"Semoga kegiatan seperti ini tetap terlaksana		"
"Semoga Webinar FKBMIK ini semakin baik kedepannya dan semakin seru		"
"Acaranya sudah sangat bagus dan bermanfaat.		"
"Acara sangat bermanfaat		"
"Acaranya sangat bagus, menarik, dan ilmunya sangat bermanfaat.		"
"sudah baguss materi dapat dipahami dengan baik		"
"Semoga bisa mengadakan kegiatan bermanfaat seperti ini lagi		"
"tidak ada, narasumbernya cukup informatif		"
"Kegiatan sudah berjalan dengan baik.		"
"Kegiatan terlaksana dengan baik		"
"banyak peserta yang kurang tertib.		"
"Semoga terlaksana dengan baik untuk kedepannya		"
"Semoga lebih tertib lagi kedepannya.		"
"Kegiatan sudah berjalan dengan sangat baik		"
"suara bocor di tengah webinar		"
"salah satu pemateri menyebutkan hal-hal internal yang seharusnya tidak disebutkan pada webinar bertaraf nasional		"
"Saya merasa webinar ini sudah berjalan dengan sangat baik		"
"Acara sudah sangat baik		"
"materi yang dibawakan selalu menarik, tetap dipertahankan		"
"Saya harap kedepannya lebih interaktif atau lebih seru lagi, tampilan zoomnya juga lebih baik lagi.		"
"untuk slot zoom tidak memenuhi, dengan peminat yang ingin mengikut webinar, saran mungkin bisa menggunakan live youtube untuk peserta yang tidak bisa mengikuti webinar di Zoom		"
"Kegiatannya sudah berjalan dengan cukup baik		"
"kedepannya mohon seluruh peserta harap bisa bergabung ke zoom.		"
"Bagus acaranya		"
"Kegiatan berjalan dengan baik		"
"kegiatan sudah terlaksana sangat bagus		"
"Sejauh ini baik dan menyenangkan		"
