text,processed_text,sentiment,topic
Sudah bagus dan lancar acaranya		,keren sukses acara,Positif,Kesuksesan Acara
masih bikin agak ngantuk		,buat mengantuk,Negatif,Antusiasme atau Keterlibatan Peserta
Lebih tepat waktu acaranya		,tepat waktu acara,Negatif,Waktu atau Pelaksanaan Acara
semoga seminar ini tetap terlaksana dengan baik		,semoga seminar tetap terlaksana baik,Positif,Kesuksesan Acara
Tidak ada kritik dan saran semua sudah oke.		,kritik usulan baik,Positif,Kesan atau Pesan
acaranya lebih tepat waktu kedepannya		,acara tepat waktu ke depannya,Negatif,Waktu atau Pelaksanaan Acara
acara webinar ini sudah terlaksana dengan baik		,acara seminar terlaksana baik,Positif,Kesuksesan Acara
"udah bagus dan kondusif, semoga webinar selanjutnya bisa lebih bagus lagi		",keren kondusif semoga seminar lanjut keren,Positif,Kesuksesan Acara
acara sangat terlaksana dengan baik		,acara terlaksana baik,Positif,Kesuksesan Acara
Kegiatannya terlaksana dengan baik		,acara terlaksana baik,Positif,Kesuksesan Acara
Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya		,acara seminar terlaksana sukses baik,Positif,Kesuksesan Acara
Materi sangat bermanfaat		,materi bermanfaat,Positif,Kesan atau Pesan
acaranya bermanfaat		,acara bermanfaat,Positif,Kesan atau Pesan
tidak bisa masuk zoomnya full,masuk zoom penuh,Negatif,Teknis atau Jaringan
Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,baik zoom muat apa apa lewat youtube,Negatif,Teknis atau Jaringan
Interaksi terhadap pendengar lebih banyak lagi		,interaksi peserta banyak,Negatif,Materi atau Narasumber
"cukup baik, mudah2an utk acara kedepannya lebih baik lgi		",cukup baik semoga acara ke depannya baik,Positif,Kesuksesan Acara
"Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka, apalagi pematerinya.		",banyak peserta salah vbg wajah narasumber,Negatif,Materi atau Narasumber
Lebih sedikit tepat waktu saja sesuatu dengan jadwal.		,sedikit tepat waktu jadwal,Negatif,Teknis atau Jaringan
pemaparan materinya sudah cukup jelas		,pemaparan materi cukup jelas,Positif,Materi atau Narasumber
