original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed
"Sudah bagus dan lancar acaranya		",Sudah bagus dan lancar acaranya,sudah bagus dan lancar acaranya,"['sudah', 'bagus', 'dan', 'lancar', 'acaranya']","['sudah', 'keren', 'dan', 'sukses', 'acara']","['keren', 'sukses', 'acara']"
"masih bikin agak ngantuk		",masih bikin agak ngantuk,masih bikin agak ngantuk,"['masih', 'bikin', 'agak', 'ngantuk']","['masih', 'bikin', 'agak', 'mengantuk']","['bikin', 'mengantuk']"
"Lebih tepat waktu acaranya		",Lebih tepat waktu acaranya,lebih tepat waktu acaranya,"['lebih', 'tepat', 'waktu', 'acaranya']","['lebih', 'tepat', 'waktu', 'acara']","['tepat', 'waktu', 'acara']"
"semoga seminar ini tetap terlaksana dengan baik		",semoga seminar ini tetap terlaksana dengan baik,semoga seminar ini tetap terlaksana dengan baik,"['semoga', 'seminar', 'ini', 'tetap', 'terlaksana', 'dengan', 'baik']","['semoga', 'seminar', 'ini', 'tetap', 'terlaksana', 'dengan', 'baik']","['semoga', 'seminar', 'tetap', 'terlaksana', 'baik']"
"Tidak ada kritik dan saran semua sudah oke.		",Tidak ada kritik dan saran semua sudah oke,tidak ada kritik dan saran semua sudah oke,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'semua', 'sudah', 'oke']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'semua', 'sudah', 'baik']","['kritik', 'usulan', 'baik']"
"acaranya lebih tepat waktu kedepannya		",acaranya lebih tepat waktu kedepannya,acaranya lebih tepat waktu kedepannya,"['acaranya', 'lebih', 'tepat', 'waktu', 'kedepannya']","['acara', 'lebih', 'tepat', 'waktu', 'ke depannya']","['acara', 'tepat', 'waktu', 'ke depannya']"
"acara webinar ini sudah terlaksana dengan baik		",acara webinar ini sudah terlaksana dengan baik,acara webinar ini sudah terlaksana dengan baik,"['acara', 'webinar', 'ini', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'ini', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'terlaksana', 'baik']"
"udah bagus dan kondusif, semoga webinar selanjutnya bisa lebih bagus lagi		",udah bagus dan kondusif semoga webinar selanjutnya bisa lebih bagus lagi,udah bagus dan kondusif semoga webinar selanjutnya bisa lebih bagus lagi,"['udah', 'bagus', 'dan', 'kondusif', 'semoga', 'webinar', 'selanjutnya', 'bisa', 'lebih', 'bagus', 'lagi']","['sudah', 'keren', 'dan', 'kondusif', 'semoga', 'seminar', 'lanjut', 'bisa', 'lebih', 'keren', 'lagi']","['keren', 'kondusif', 'semoga', 'seminar', 'lanjut', 'keren']"
"acara sangat terlaksana dengan baik		",acara sangat terlaksana dengan baik,acara sangat terlaksana dengan baik,"['acara', 'sangat', 'terlaksana', 'dengan', 'baik']","['acara', 'sangat', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']"
"Kegiatannya terlaksana dengan baik		",Kegiatannya terlaksana dengan baik,kegiatannya terlaksana dengan baik,"['kegiatannya', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']"
"Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya		",Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya,acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya,"['acara', 'webinar', 'ini', 'sudah', 'berjalan', 'dengan', 'lancar', 'dan', 'lebih', 'baik', 'dari', 'sebelumnya']","['acara', 'seminar', 'ini', 'sudah', 'terlaksana', 'dengan', 'sukses', 'dan', 'lebih', 'baik', 'dari', 'sebelum']","['acara', 'seminar', 'terlaksana', 'sukses', 'baik']"
"Materi sangat bermanfaat		",Materi sangat bermanfaat,materi sangat bermanfaat,"['materi', 'sangat', 'bermanfaat']","['materi', 'sangat', 'bermanfaat']","['materi', 'bermanfaat']"
"acaranya bermanfaat		",acaranya bermanfaat,acaranya bermanfaat,"['acaranya', 'bermanfaat']","['acara', 'bermanfaat']","['acara', 'bermanfaat']"
tidak bisa masuk zoomnya full,tidak bisa masuk zoomnya full,tidak bisa masuk zoomnya full,"['tidak', 'bisa', 'masuk', 'zoomnya', 'full']","['tidak', 'bisa', 'masuk', 'zoom', 'penuh']","['masuk', 'zoom', 'penuh']"
Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,"['tidak', 'ada', 'sudah', 'baik', 'hanya', 'saja', 'zoom', 'tidak', 'muat', 'tapi', 'tidak', 'apa', 'apa', 'bisa', 'lewat', 'yt']","['tidak', 'ada', 'sudah', 'baik', 'hanya', 'saja', 'zoom', 'tidak', 'muat', 'tetapi', 'tidak', 'apa', 'apa', 'bisa', 'lewat', 'youtube']","['baik', 'zoom', 'muat', 'apa', 'apa', 'lewat', 'youtube']"
"Interaksi terhadap pendengar lebih banyak lagi		",Interaksi terhadap pendengar lebih banyak lagi,interaksi terhadap pendengar lebih banyak lagi,"['interaksi', 'terhadap', 'pendengar', 'lebih', 'banyak', 'lagi']","['interaksi', 'terhadap', 'peserta', 'lebih', 'banyak', 'lagi']","['interaksi', 'peserta', 'banyak']"
"cukup baik, mudah2an utk acara kedepannya lebih baik lgi		",cukup baik mudahan utk acara kedepannya lebih baik lgi,cukup baik mudahan utk acara kedepannya lebih baik lgi,"['cukup', 'baik', 'mudahan', 'utk', 'acara', 'kedepannya', 'lebih', 'baik', 'lgi']","['cukup', 'baik', 'semoga', 'untuk', 'acara', 'ke depannya', 'lebih', 'baik', 'lagi']","['cukup', 'baik', 'semoga', 'acara', 'ke depannya', 'baik']"
"Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka, apalagi pematerinya.		",Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka apalagi pematerinya,masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka apalagi pematerinya,"['masih', 'banyak', 'peserta', 'yang', 'hanya', 'menyalahkan', 'vbg', 'tanpa', 'wajah', 'mereka', 'apalagi', 'pematerinya']","['masih', 'banyak', 'peserta', 'yang', 'hanya', 'salah', 'vbg', 'tanpa', 'wajah', 'mereka', 'apalagi', 'narasumber']","['banyak', 'peserta', 'salah', 'vbg', 'wajah', 'narasumber']"
"Lebih sedikit tepat waktu saja sesuatu dengan jadwal.		",Lebih sedikit tepat waktu saja sesuatu dengan jadwal,lebih sedikit tepat waktu saja sesuatu dengan jadwal,"['lebih', 'sedikit', 'tepat', 'waktu', 'saja', 'sesuatu', 'dengan', 'jadwal']","['lebih', 'sedikit', 'tepat', 'waktu', 'saja', 'sesuatu', 'dengan', 'jadwal']","['sedikit', 'tepat', 'waktu', 'jadwal']"
"pemaparan materinya sudah cukup jelas		",pemaparan materinya sudah cukup jelas,pemaparan materinya sudah cukup jelas,"['pemaparan', 'materinya', 'sudah', 'cukup', 'jelas']","['pemaparan', 'materi', 'sudah', 'cukup', 'jelas']","['pemaparan', 'materi', 'cukup', 'jelas']"
"mungkin diadakan games agar lebih seru tidak monoton		",mungkin diadakan games agar lebih seru tidak monoton,mungkin diadakan games agar lebih seru tidak monoton,"['mungkin', 'diadakan', 'games', 'agar', 'lebih', 'seru', 'tidak', 'monoton']","['mungkin', 'mengadakan', 'permainan', 'agar', 'lebih', 'menarik', 'tidak', 'membosankan']","['mungkin', 'mengadakan', 'permainan', 'menarik', 'membosankan']"
"Tambah slot kuota pada zoom		",Tambah slot kuota pada zoom,tambah slot kuota pada zoom,"['tambah', 'slot', 'kuota', 'pada', 'zoom']","['tambah', 'slot', 'kuota', 'pada', 'zoom']","['tambah', 'slot', 'kuota', 'zoom']"
"Webinar yang bermanfaat		",Webinar yang bermanfaat,webinar yang bermanfaat,"['webinar', 'yang', 'bermanfaat']","['seminar', 'yang', 'bermanfaat']","['seminar', 'bermanfaat']"
